127.0.0.1 - - [04/Feb/2017:21:46:03 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:46:05 +0900] "GET /controller/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:46:05 +0900] "GET /controller/resources/main/js/modernizr.custom.js;jsessionid=D692A8C2C7BF9017198B197E6F5EE035 HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:46:05 +0900] "GET /controller/resources/main/css/component.css;jsessionid=D692A8C2C7BF9017198B197E6F5EE035 HTTP/1.1" 200 8332
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:46:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:46:06 +0900] "GET /controller/resources/main/images/prahaBackground.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:46:06 +0900] "GET /controller/resources/main/images/budapestBackground.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:23 +0900] "GET /controller/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:23 +0900] "GET /controller/resources/main/js/modernizr.custom.js;jsessionid=D8F064F72914956F00E0E1BE04D2BD57 HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:23 +0900] "GET /controller/resources/main/css/component.css;jsessionid=D8F064F72914956F00E0E1BE04D2BD57 HTTP/1.1" 200 8332
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:23 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:29 +0900] "GET /controller/praha/prahaMain HTTP/1.1" 200 6268
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:29 +0900] "GET /controller/resources/stylesheets/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:29 +0900] "GET /controller/resources/stylesheets/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:29 +0900] "GET /controller/resources/prahaMainGallery/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:29 +0900] "GET /controller/resources/prahaMainGallery/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:29 +0900] "GET /controller/resources/prahaMainGallery/css/component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:21:57:29 +0900] "GET /controller/resources/prahaMainGallery/images/2.jpg HTTP/1.1" 304 -
